[0][idea] INFO  Wurst.Update.Worker - Config server: /home/sensey/Projects/Wurst/src/wurst-gearman/gearman/../input/server.conf
[1][idea] INFO  Wurst.Update.Worker - Config loger: /home/sensey/Projects/Wurst/src/wurst-gearman/gearman/../input/logger.conf
[1][idea] INFO  Wurst.Update.Worker - Timeout without server: 80
[1][idea] INFO  Wurst.Update.Worker - Timeout without tasks: 30
[40][idea] INFO  Wurst.Update.Worker - Shutdown in: 80
[41][idea] INFO  Wurst.Update.Worker - Pdb process fail 4ESU
[41][idea] INFO  Wurst.Update.Worker - Pdb process fail 3ILA
[41][idea] INFO  Wurst.Update.Worker - Pdb process fail 4UWE
[42][idea] INFO  Wurst.Update.Worker - Pdb process fail 3ILA
[42][idea] INFO  Wurst.Update.Worker - Pdb process fail 3ILA
[42][idea] INFO  Wurst.Update.Worker - Pdb process fail 4I2S
[42][idea] INFO  Wurst.Update.Worker - Pdb process fail 4I1E
[42][idea] INFO  Wurst.Update.Worker - Pdb process fail 3ILA
[43][idea] INFO  Wurst.Update.Worker - Pdb process fail 3RQR
[43][idea] INFO  Wurst.Update.Worker - Pdb process fail 4I37
[43][idea] INFO  Wurst.Update.Worker - Pdb process fail 3ILA
[43][idea] INFO  Wurst.Update.Worker - Pdb process fail 4UWA
[43][idea] INFO  Wurst.Update.Worker - Pdb process [3064][idea] INFO  Wurst.Update.Planner - Cluster processing complete  4ESU,3ILA,4UWE,3ILA,3ILA,4I2S,4I1E,3ILA,3RQR,4I37,3ILA,4UWA,4P9J,4I7I,4I8M,4UWE,3ILA,3HSM,3ILA,3ILA,4ETU,4I96,4P9J,4I0Y,4P9J,3ILA,3HSM,4UWA,4UWE,4UWA,4ERT,2XOA,4ETT,4UWE,4I6I,4I3N,4UWA
[3066][idea] INFO  Wurst.Update.Planner - Cluster processing complete  3J8E,3J8E,3J8E,2BCX,3J8E
[3068][idea] INFO  Wurst.Update.Planner - Cluster processing complete  3J8H,3J8H,3J8H,3J8H
